Ticker,Price,High52W,PctBelow,MarketCapM,AvgVolK,AvgDolVolM,Sector,Industry,Indexes,AI,Uranium,Chg3moPct,Px3moAgo,TrendUp,DataFlag
HP,40.56,41.82,3.0,4053.7,1264.2,51.28,Energy,Oil & Gas Drilling,,,,19.16,34.04,Y,
GLPI,47.71,49.14,2.92,13512.5,2061.6,98.36,Real Estate,REIT - Specialty,,,,1.0,47.24,Y,
WULF,25.18,25.92,2.87,12477.5,30392.1,765.27,Financial Services,Capital Markets,,,,40.51,17.92,Y,
NZF,12.4,12.75,2.81,2401.3,545.8,6.76,Financial Services,Asset Management,,,,-2.51,12.71,,
SBRA,20.69,21.28,2.77,5217.8,2224.4,46.02,Real Estate,REIT - Healthcare Facilities,,,,2.08,20.27,Y,
NEA,11.37,11.69,2.75,3400.1,887.5,10.09,Financial Services,Asset Management,,,,-2.17,11.62,,
ARI,10.94,11.24,2.71,1452.7,1405.0,15.36,Real Estate,REIT - Mortgage,,,,5.17,10.4,Y,
SATL,11.68,12.0,2.67,1731.5,9949.9,116.21,Industrials,Aerospace & Defense,,,,263.86,3.21,Y,
WT,19.32,19.85,2.67,2954.8,3112.9,60.14,Financial Services,Asset Management,,,,11.79,17.28,Y,
NSA,42.85,44.01,2.65,3308.6,1644.0,70.45,Real Estate,REIT - Industrial,,,,27.05,33.73,Y,
AVA,41.39,42.48,2.57,3420.4,603.2,24.97,Utilities,Utilities - Diversified,,,,3.16,40.12,Y,
PBA,48.85,50.1,2.5,28400.2,1356.7,66.27,Energy,Oil & Gas Midstream,,,,11.88,43.66,Y,
BIP,39.37,40.32,2.36,18110.5,971.4,38.24,Utilities,Utilities - Diversified,,,,0.97,38.99,,
HOPE,12.57,12.87,2.36,1606.9,910.9,11.45,Financial Services,Banks - Regional,,,,7.55,11.69,Y,
MITK,16.1,16.48,2.28,727.3,1037.5,16.71,Technology,Software - Application,,,,9.48,14.71,Y,
UMC,21.02,21.51,2.28,52745.2,11491.7,241.56,Technology,Semiconductors,,,,99.24,10.55,Y,
BRX,30.79,31.49,2.22,9447.5,2614.1,80.49,Real Estate,REIT - Retail,,,,3.4,29.78,Y,
SPIR,24.57,25.12,2.19,951.1,1584.3,38.93,Industrials,Specialty Business Services,,,,171.79,9.04,Y,
FPS,49.92,51.0,2.12,12186.4,4331.6,216.23,Industrials,Electrical Equipment & Parts,,,,45.33,34.35,Y,
KRP,15.08,15.4,2.08,1487.7,856.1,12.91,Energy,Oil & Gas E&P,,,,12.47,13.41,Y,
NVRI,19.59,19.99,2.0,1620.2,1271.5,24.91,Industrials,Waste Management,,,,9.75,17.85,Y,
TRIN,16.86,17.21,1.99,1516.0,1236.3,20.85,Financial Services,Asset Management,,,,13.15,14.91,Y,
RPRX,53.67,54.74,1.96,23788.3,3298.9,177.03,Healthcare,Biotechnology,,,,19.38,44.95,Y,
AIP,37.76,38.47,1.85,1743.3,718.5,27.13,Technology,Semiconductors,,,,121.97,17.01,Y,
RDW,22.44,22.86,1.82,4464.7,27045.2,607.03,Industrials,Aerospace & Defense,,,,160.38,8.62,Y,
MRTN,16.79,17.09,1.76,1369.9,819.5,13.76,Industrials,Trucking,,,,28.43,13.07,Y,
NOK,16.01,16.3,1.75,89404.3,87193.2,1396.4,Technology,Communication Equipment,,,,111.56,7.57,Y,
TFSL,15.92,16.2,1.73,4464.5,800.5,12.74,Financial Services,Banks - Regional,,,,12.09,14.2,Y,
SOBO,37.77,38.39,1.62,7878.2,983.3,37.14,Energy,Oil & Gas Midstream,,,,17.25,32.21,Y,
WERN,40.4,41.06,1.61,2422.0,1080.1,43.64,Industrials,Trucking,,,,24.27,32.51,Y,
CNO,47.21,47.95,1.54,4407.0,663.3,31.31,Financial Services,Insurance - Life,,,,12.02,42.15,Y,
RNST,41.21,41.84,1.5,3802.5,717.2,29.56,Financial Services,Banks - Regional,,,,4.77,39.33,Y,
