Ticker,Price,High52W,PctBelow,MarketCapM,AvgVolK,AvgDolVolM,Sector,Industry,Indexes,AI,Uranium,Chg3moPct,Px3moAgo,TrendUp,DataFlag
FND,49.01,92.4,46.96,5297.7,2895.1,141.89,Consumer Cyclical,Home Improvement Retail,,,,-28.46,68.51,,
FOXF,16.6,31.18,46.74,696.3,659.6,10.95,Consumer Cyclical,Auto Parts,,,,-12.7,19.02,,
LYFT,13.69,25.54,46.42,5196.0,16060.4,219.79,Technology,Software - Application,,,,2.13,13.4,Y,
JOBY,11.3,20.95,46.09,11110.2,26505.5,299.38,Industrials,Airports & Air Services,,,,15.02,9.82,Y,
ALKT,17.12,31.18,45.08,1832.7,1855.8,31.78,Technology,Software - Application,,,,4.61,16.37,,
PBH,48.05,87.12,44.85,2276.2,598.5,28.76,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-30.74,69.38,,
BBWI,18.26,33.03,44.71,3677.2,5851.2,106.84,Consumer Cyclical,Specialty Retail,,,,-19.45,22.67,,
CMG,32.33,58.42,44.67,41464.4,15788.8,510.37,Consumer Cyclical,Restaurants,SP500,,,-13.8,37.5,,
CALX,39.51,71.22,44.53,2519.7,936.6,37.0,Technology,Software - Infrastructure,,,,-22.65,51.07,,
FSK,10.99,19.81,44.49,3079.3,4390.0,48.27,Financial Services,Asset Management,,,,-13.4,12.7,,
PYPL,44.12,79.08,44.21,38914.1,16422.7,724.49,Financial Services,Credit Services,Nasdaq100|SP500,,,-6.49,47.18,,
BSY,32.94,58.97,44.14,10007.1,2854.3,94.02,Technology,Software - Application,,,,1.59,32.42,,
CSIQ,19.33,34.59,44.12,1310.9,2820.3,54.52,Technology,Solar,,,,-4.64,20.27,,
LIFE,18.18,32.5,44.06,1145.2,542.6,9.86,Financial Services,Insurance Brokers,,,,53.55,11.84,Y,
ARX,17.47,31.18,43.99,3810.9,1276.2,22.29,,,,,,70.56,10.24,Y,
OTF,10.84,19.34,43.97,5012.7,2190.1,23.73,Financial Services,Asset Management,,,,-2.6,11.12,,
OFRM,15.27,27.0,43.44,639.8,541.8,8.27,Consumer Defensive,Packaged Foods,,,,-31.83,22.4,,
ARE,47.86,84.26,43.2,8340.5,2396.0,114.67,Real Estate,REIT - Office,SP500,,,-10.07,53.22,,
ORLA,12.52,21.98,43.06,4330.1,2743.7,34.34,Basic Materials,Gold,,,,-37.24,19.94,,
ESTC,54.72,96.07,43.05,5663.1,2047.7,112.04,Technology,Software - Application,,Y,,-5.66,58.0,,
PATH,11.32,19.84,42.94,5891.4,32268.5,365.28,Technology,Software - Infrastructure,,Y,,13.88,9.94,,
LMND,57.2,99.9,42.74,4394.1,1841.8,105.35,Financial Services,Insurance - Property & Casualty,,,,10.32,51.85,,
OPCH,21.11,36.8,42.64,3314.9,2871.3,60.61,Healthcare,Medical Care Facilities,,,,-37.17,33.6,,
PCOR,47.52,82.32,42.27,7170.3,2432.7,115.6,Technology,Software - Application,,,,-10.0,52.8,,
QBTS,27.05,46.75,42.14,10020.5,30388.4,822.0,Technology,Computer Hardware,,,,37.66,19.65,Y,
SBSW,11.98,20.69,42.1,8666.0,5591.8,66.99,Basic Materials,Other Precious Metals & Mining,,,,-26.49,16.3,,
PAY,23.22,40.02,41.99,2920.2,561.5,13.03,Technology,Software - Infrastructure,,,,-3.99,24.18,,
TREX,39.9,68.78,41.99,4145.6,1957.9,78.12,Industrials,Building Products & Equipment,,,,-4.32,41.7,,
IE,12.53,21.55,41.86,1983.4,2079.9,26.06,Basic Materials,Copper,,,,-23.64,16.41,,
KEP,13.69,23.41,41.54,17570.6,831.5,11.38,Utilities,Utilities - Regulated Electric,,,,-40.24,22.9,,
NOMD,10.24,17.33,40.89,1432.2,1709.9,17.52,Consumer Defensive,Packaged Foods,,,,-15.39,12.11,,
FRPT,51.04,86.31,40.86,2508.2,1661.9,84.82,Consumer Defensive,Packaged Foods,,,,-35.9,79.63,,
MRAM,30.48,51.5,40.82,714.7,2501.7,76.25,Technology,Semiconductors,,,,166.67,11.43,Y,
EQPT,21.01,35.5,40.8,5303.7,1888.0,39.68,Industrials,Rental & Leasing Services,,,,-29.41,29.77,,
XPEV,16.74,28.24,40.73,15994.5,6703.4,112.18,Consumer Cyclical,Auto Manufacturers,,,,-7.95,18.18,,
OTEX,23.22,39.15,40.69,5634.6,2107.7,48.94,Technology,Software - Application,,,,-4.13,24.22,,
IP,31.86,53.57,40.51,16873.1,6859.6,218.58,Consumer Cyclical,Packaging & Containers,SP500,,,-25.93,43.02,,
FBIN,38.33,64.07,40.17,4572.5,2851.5,109.3,Industrials,Building Products & Equipment,,,,-28.78,53.82,,
HROW,32.85,54.85,40.11,1224.5,857.7,28.18,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-38.53,53.44,,
RELX,32.94,54.95,40.07,58220.3,3199.1,105.36,Industrials,Specialty Business Services,,,,2.72,32.06,Y,
TCOM,47.4,78.99,39.99,29848.0,2900.7,137.49,Consumer Cyclical,Travel Services,,,,-11.67,53.66,,
AMPH,18.79,31.26,39.89,828.5,630.9,11.85,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-32.82,27.97,,
WGO,29.88,49.63,39.8,844.5,658.2,19.67,Consumer Cyclical,Recreational Vehicles,,,,-28.48,41.78,,
MIR,18.36,30.28,39.36,4491.9,3590.7,65.93,Industrials,Specialty Industrial Machinery,,,,-14.56,21.49,,
AEO,17.08,28.14,39.31,2861.4,5336.5,91.15,Consumer Cyclical,Apparel Retail,,,,-28.47,23.88,,
AGIO,27.94,46.0,39.26,1661.6,1023.5,28.6,Healthcare,Biotechnology,,,,-6.74,29.96,,
CXT,41.78,68.54,39.05,2403.8,741.1,30.96,Industrials,Specialty Industrial Machinery,,,,-17.82,50.83,,
VERA,34.29,56.05,38.82,2461.4,1180.3,40.47,Healthcare,Biotechnology,,,,-17.73,41.68,,
TPG,41.96,68.57,38.81,6732.6,3100.1,130.07,Financial Services,Asset Management,,,,-4.83,44.09,,
QGEN,35.43,57.82,38.72,7307.4,2019.7,71.56,Healthcare,Diagnostics & Research,,,,-27.13,48.62,,
PZZA,32.95,53.66,38.6,1084.1,1296.8,42.73,Consumer Cyclical,Restaurants,,,,-1.29,33.38,,
GME,22.0,35.81,38.55,9873.5,7316.6,161.0,Consumer Cyclical,Specialty Retail,,,,-9.15,24.22,,
MKC,46.72,75.94,38.47,12561.7,4062.0,189.8,Consumer Defensive,Packaged Foods,SP500,,,-31.71,68.42,,
PSN,55.22,89.5,38.3,5907.4,1264.6,69.83,Technology,Information Technology Services,,,,-15.28,65.18,,
MAN,28.56,46.15,38.12,1328.2,1136.4,32.46,Industrials,Staffing & Employment Services,,,,10.57,25.83,Y,
RVLV,19.6,31.68,38.12,1402.8,1129.0,22.13,,,,,,-19.52,24.36,,
MOS,22.86,36.94,38.1,7267.6,10029.9,229.33,Basic Materials,Agricultural Inputs,SP500,,,-13.67,26.49,,
BILL,35.48,57.21,37.98,3533.7,2087.9,74.08,Technology,Software - Application,,,,-17.87,43.2,,
BRSL,11.17,18.0,37.95,2065.6,1392.0,15.55,Consumer Cyclical,Gambling,,,,-17.75,13.58,,
NCLH,16.88,27.18,37.9,7749.8,23012.2,388.45,Consumer Cyclical,Travel Services,SP500,,,-29.11,23.81,,
AG,19.9,32.01,37.83,9826.0,16962.3,337.55,Basic Materials,Silver,,,,-32.26,29.38,,
XNCR,11.65,18.69,37.67,863.7,852.6,9.93,Healthcare,Biotechnology,,,,-2.75,11.98,,
KBR,33.63,53.75,37.43,4263.9,1650.8,55.51,Industrials,Engineering & Construction,,,,-17.22,40.63,,
CAG,13.31,21.25,37.34,6370.4,14768.5,196.64,Consumer Defensive,Packaged Foods,SP500,,,-26.88,18.21,,
MARA,14.7,23.45,37.31,5604.7,46992.1,690.78,Financial Services,Capital Markets,,,,71.53,8.57,Y,
RDNT,54.09,85.84,36.99,4253.3,866.4,46.86,Healthcare,Diagnostics & Research,,,,-22.74,70.01,,
EGO,32.19,51.08,36.98,8386.7,3042.9,97.95,Basic Materials,Gold,,,,-27.38,44.33,,
CRNX,36.58,57.99,36.92,3857.0,1194.9,43.71,Healthcare,Biotechnology,,,,-15.69,43.39,,
BTU,25.88,41.01,36.89,3153.1,3412.3,88.31,Energy,Thermal Coal,,,,-21.21,32.85,,
HDB,24.92,39.32,36.61,127891.3,9569.9,238.48,Financial Services,Banks - Regional,,,,-22.49,32.15,,
POET,13.22,20.81,36.5,2280.8,34624.3,457.56,Technology,Semiconductors,,,,107.78,6.36,Y,
SLM,21.89,34.44,36.45,4128.3,3654.5,80.0,Financial Services,Credit Services,,,,8.02,20.26,Y,
LWLG,11.93,18.71,36.24,1838.2,7930.9,94.62,Basic Materials,Specialty Chemicals,,,,171.14,4.4,Y,
SAIL,15.98,24.95,35.95,9064.0,3211.2,51.31,Technology,Software - Infrastructure,,,,19.52,13.37,,
TRMB,56.28,87.5,35.67,13120.7,1961.9,110.43,Technology,Scientific & Technical Instruments,SP500,,,-16.17,67.14,,
IOT,31.2,48.4,35.54,18180.6,6675.7,208.28,Technology,Software - Infrastructure,,,,13.7,27.44,,
EPC,17.74,27.51,35.51,817.5,774.3,13.74,Consumer Defensive,Household & Personal Products,,,,-20.24,22.24,,
CRSP,51.01,78.48,35.0,4920.3,1898.9,96.87,Healthcare,Biotechnology,,,,-7.58,55.2,,
PAX,11.29,17.36,34.95,1801.1,925.8,10.45,Financial Services,Asset Management,,,,-14.33,13.18,,
ONON,39.99,61.29,34.76,13328.2,7102.1,283.98,Consumer Cyclical,Footwear & Accessories,,,,-14.29,46.65,,
ARQT,20.8,31.77,34.55,2601.1,1553.8,32.31,Healthcare,Biotechnology,,,,-23.01,27.01,,
APTV,58.24,88.93,34.52,12323.7,2933.9,170.86,Consumer Cyclical,Auto Parts,SP500,,,-23.82,76.44,,
EVER,18.87,28.73,34.32,667.5,919.2,17.35,Communication Services,Internet Content & Information,,,,15.84,16.29,Y,
STVN,18.4,28.0,34.29,5023.3,551.7,10.15,Healthcare,Medical Instruments & Supplies,,,,20.26,15.3,Y,
DSGN,11.35,17.25,34.17,709.2,604.9,6.87,Healthcare,Biotechnology,,,,3.51,10.97,Y,
ALK,43.38,65.88,34.16,4833.2,4430.7,192.18,Industrials,Airlines,,,,-20.15,54.32,,
ARLO,13.16,19.94,34.0,1429.3,1476.6,19.43,Industrials,Building Products & Equipment,,,,10.5,11.91,,
SIBN,14.45,21.89,33.99,640.8,708.5,10.24,Healthcare,Medical Devices,,,,-8.54,15.8,,
RUN,14.82,22.44,33.96,3535.3,9927.2,147.12,Technology,Solar,,,,-24.19,19.55,,
CNNE,14.08,21.31,33.93,618.7,649.1,9.14,Consumer Cyclical,Restaurants,,,,12.4,12.53,Y,
REZI,29.93,45.29,33.91,4532.2,1358.4,40.66,Industrials,Industrial Distribution,,,,-26.75,40.86,,
GOLD,43.77,66.14,33.82,1269.5,602.7,26.38,Financial Services,Capital Markets,,,,-21.7,55.9,,
ALHC,15.8,23.87,33.81,3266.4,4413.2,69.73,Healthcare,Healthcare Plans,,,,-21.51,20.13,,
EQX,12.6,18.92,33.38,9946.8,9333.7,117.65,Basic Materials,Gold,,,,-30.25,18.07,,
TECH,47.92,71.93,33.38,7502.8,2535.6,121.51,Healthcare,Biotechnology,SP500,,,-17.04,57.76,,
BRZE,25.14,37.67,33.28,2809.7,3035.6,76.3,Technology,Software - Application,,,,42.89,17.59,Y,
ONDS,10.19,15.28,33.28,5082.1,72801.2,742.21,Technology,Communication Equipment,,,,-1.02,10.3,,
ATRC,28.87,43.18,33.14,1462.0,706.3,20.39,Healthcare,Medical Instruments & Supplies,,,,-7.44,31.19,,
GLXY,30.71,45.92,33.12,5880.7,5273.8,161.96,Financial Services,Capital Markets,,,,34.52,22.83,Y,
BROS,52.16,77.88,33.03,7156.0,4173.9,217.71,Consumer Cyclical,Restaurants,,,,2.58,50.85,Y,
STNE,11.04,16.48,33.01,2685.2,5927.0,65.43,Technology,Software - Infrastructure,,,,-20.78,13.94,,
ADPT,13.92,20.76,32.95,2227.8,1876.9,26.13,Healthcare,Diagnostics & Research,,,,-14.13,16.21,,
CG,45.9,68.44,32.93,16522.8,3343.8,153.48,Financial Services,Asset Management,,,,-10.31,51.17,,
AVEX,28.46,42.34,32.79,1444.1,3120.3,88.8,Industrials,Aerospace & Defense,,,,5.68,26.93,,
SLGN,37.8,56.23,32.78,3994.7,805.2,30.44,Consumer Cyclical,Packaging & Containers,,,,-20.64,47.63,,
PS,36.94,54.94,32.77,14774.0,1020.4,37.69,Financial Services,Asset Management,,,,52.62,24.2,Y,
UEC,13.68,20.34,32.77,6703.8,9297.3,127.14,Energy,Uranium,,,Y,-12.51,15.63,,
AVTX,16.33,24.27,32.69,858.7,1427.2,23.31,Healthcare,Biotechnology,,,,-3.09,16.85,,
HRB,38.47,56.98,32.48,4877.1,2431.1,93.53,Consumer Cyclical,Personal Services,,,,27.77,30.11,Y,
GFI,40.45,59.9,32.47,36179.2,3257.6,131.77,Basic Materials,Gold,,,,-28.45,56.53,,
VG,13.13,19.4,32.28,32631.5,27491.4,361.09,Energy,Oil & Gas Midstream,,,,41.28,9.3,Y,
MAT,15.26,22.48,32.14,4432.6,4610.9,70.34,Consumer Cyclical,Leisure,,,,-9.47,16.85,,
MBX,31.35,45.85,31.62,1492.2,573.7,17.99,Healthcare,Biotechnology,,,,-12.04,35.64,,
LKQ,26.87,39.29,31.61,6846.2,2878.9,77.36,Consumer Cyclical,Auto Parts,,,,-16.05,32.01,,
SLG,43.92,64.19,31.58,3123.8,1284.2,56.4,Real Estate,REIT - Office,,,,18.2,37.16,Y,
UPBD,18.15,26.4,31.25,1058.0,842.8,15.3,Technology,Software - Application,,,,-13.9,21.08,,
HRL,20.92,30.34,31.06,11511.9,4665.3,97.6,Consumer Defensive,Packaged Foods,SP500,,,-16.17,24.95,,
HSAI,21.3,30.85,30.96,3347.1,1856.4,39.54,Consumer Cyclical,Auto Parts,,,,-21.05,26.98,,
DRVN,13.63,19.74,30.95,2248.0,2268.8,30.92,Consumer Cyclical,Auto & Truck Dealerships,,,,17.5,11.6,Y,
GFL,35.6,51.49,30.86,12850.6,2172.9,77.36,Industrials,Waste Management,,,,-15.75,42.25,,
AEVA,27.0,38.8,30.41,1702.2,1778.5,48.02,Technology,Software - Infrastructure,,,,97.96,13.64,Y,
GDS,33.92,48.61,30.21,6797.8,1910.5,64.81,Technology,Information Technology Services,,,,-24.59,44.99,,
VTS,17.81,25.28,29.55,742.9,557.6,9.93,Energy,Oil & Gas E&P,,,,-17.66,21.63,,
SBH,12.64,17.92,29.49,1205.5,1493.2,18.87,Consumer Cyclical,Specialty Retail,,,,-21.18,16.03,,
HTFL,29.07,41.22,29.48,2507.0,1281.2,37.25,Healthcare,Health Information Services,,,,26.39,23.0,Y,
TNGX,20.1,28.41,29.25,2907.4,3388.4,68.11,Healthcare,Biotechnology,,,,59.14,12.63,Y,
VKTX,30.53,43.15,29.24,3545.3,2272.6,69.39,Healthcare,Biotechnology,,,,-7.8,33.12,,
DT,40.83,57.55,29.05,11901.0,7331.1,299.33,Technology,Software - Application,,,,16.19,35.14,Y,
CARG,27.98,39.42,29.03,2523.0,1265.0,35.39,Consumer Cyclical,Auto & Truck Dealerships,,,,-7.55,30.26,,
SLDE,18.52,25.9,28.49,2121.6,2048.1,37.93,Financial Services,Insurance - Property & Casualty,,,,-4.98,19.49,,
PCT,12.45,17.37,28.3,2252.7,4964.0,61.83,Industrials,Pollution & Treatment Controls,,,,40.42,8.87,Y,
KC,13.28,18.52,28.29,3975.6,1457.2,19.35,Technology,Software - Application,,,,2.55,12.95,Y,
GXO,48.01,66.85,28.18,5523.5,1319.7,63.36,Industrials,Integrated Freight & Logistics,,,,-24.74,63.79,,
AGI,39.78,55.37,28.15,16706.2,3434.0,136.61,Basic Materials,Gold,,,,-20.41,49.98,,
KBH,48.79,67.81,28.05,3054.3,1162.4,56.71,Consumer Cyclical,Residential Construction,,,,-22.24,62.74,,
TENB,25.74,35.69,27.88,2838.4,3297.1,84.87,Technology,Software - Infrastructure,,,,35.47,19.0,Y,
CNH,10.19,14.13,27.87,12641.3,15549.0,158.52,Industrials,Farm & Heavy Construction Machinery,,,,-16.65,12.23,,
CAPR,29.14,40.37,27.82,1687.6,1245.8,36.3,Healthcare,Biotechnology,,,,2.79,28.35,Y,
CNM,48.5,67.18,27.81,9124.9,2538.5,123.12,Industrials,Industrial Distribution,,,,-10.53,54.21,,
ERO,28.79,39.8,27.66,3002.2,1218.9,35.09,Basic Materials,Copper,,,,-16.24,34.37,,
DEI,11.7,16.16,27.61,1959.6,2449.4,28.66,Real Estate,REIT - Office,,,,15.61,10.12,Y,
CTRI,31.17,42.99,27.49,3146.1,1460.9,45.54,Utilities,Utilities - Regulated Gas,,,,1.63,30.67,Y,
AMLX,13.59,18.6,26.96,1511.0,1099.6,14.94,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-5.43,14.37,,
WSE,12.76,17.47,26.96,12763.4,1309.4,16.71,Technology,Information Technology Services,,,,-17.14,15.4,,
ACI,16.12,22.02,26.76,7974.4,6423.6,103.58,Consumer Defensive,Grocery Stores,,,,-7.97,17.52,,
JKS,23.36,31.88,26.73,1223.4,684.4,15.99,Technology,Solar,,,,-14.05,27.18,,
ALMS,22.43,30.6,26.7,2859.6,1297.0,29.09,Healthcare,Biotechnology,,,,-23.68,29.39,,
EDU,47.08,64.22,26.68,7849.6,777.7,36.62,Consumer Defensive,Education & Training Services,,,,-16.31,56.26,,
SONY,22.3,30.34,26.52,131720.2,6261.4,139.6,Technology,Consumer Electronics,,,,4.13,21.41,Y,
VIPS,14.89,20.24,26.46,7148.8,2261.3,33.66,Consumer Cyclical,Internet Retail,,,,-12.66,17.04,,
PWP,19.01,25.84,26.43,1386.6,957.2,18.2,Financial Services,Capital Markets,,,,-1.81,19.36,,
VFC,16.39,22.27,26.43,6419.1,6992.6,114.57,Consumer Cyclical,Apparel Manufacturing,,,,-15.71,19.44,,
XP,17.05,23.13,26.29,8809.3,5596.8,95.42,Financial Services,Capital Markets,,,,-23.68,22.34,,
GCT,38.28,51.86,26.19,1393.8,774.6,29.65,Technology,Software - Infrastructure,,,,8.41,35.31,,
GMRS,11.1,15.0,25.97,599.9,2670.7,29.66,Healthcare,Medical Care Facilities,,,,-20.57,13.98,,
BV,12.67,17.1,25.93,1180.8,586.9,7.44,,,,,,-10.27,14.12,,
LC,16.05,21.67,25.93,1851.4,2056.9,33.01,Financial Services,Banks - Regional,,,,-0.31,16.1,,
RVI,57.4,77.39,25.83,1564.0,848.0,48.68,Financial Services,Asset Management,,,,173.33,21.0,Y,
NMRK,14.6,19.68,25.79,2592.8,1640.7,23.96,Real Estate,Real Estate Services,,,,0.29,14.56,Y,
ATMU,49.41,66.5,25.7,4035.4,1221.4,60.35,Consumer Cyclical,Auto Parts,,,,-23.58,64.66,,
HRMY,30.38,40.87,25.68,1758.5,793.8,24.11,Healthcare,Biotechnology,,,,7.75,28.19,Y,
IDYA,29.25,39.28,25.53,2569.9,1152.4,33.71,Healthcare,Biotechnology,,,,-7.64,31.67,,
BIRK,42.6,57.2,25.52,7834.4,2437.3,103.83,Consumer Cyclical,Footwear & Accessories,,,,7.41,39.66,,
SW,38.52,51.63,25.39,20202.4,5372.8,206.96,Consumer Cyclical,Packaging & Containers,SP500,,,-15.25,45.45,,
KT,18.35,24.58,25.33,8802.0,1430.8,26.26,Communication Services,Telecom Services,,,,-24.56,24.33,,
KGC,29.14,39.01,25.31,34790.4,9093.9,264.95,Basic Materials,Gold,,,,-18.95,35.95,,
ACAD,21.19,28.35,25.26,3628.5,1864.2,39.5,Healthcare,Biotechnology,,,,-15.14,24.97,,
GLUE,19.26,25.77,25.26,1627.1,994.6,19.16,Healthcare,Biotechnology,,,,6.47,18.09,Y,
GGAL,45.29,60.49,25.12,7674.5,1125.4,50.97,Financial Services,Banks - Regional,,,,-4.29,47.32,,
VCEL,34.51,45.97,24.93,1762.4,656.8,22.67,Healthcare,Biotechnology,,,,-6.96,37.09,,
TFPM,31.35,41.7,24.82,6477.0,616.3,19.32,Basic Materials,Other Precious Metals & Mining,,,,-21.3,39.83,,
CC,21.48,28.57,24.81,3230.1,3137.7,67.4,Basic Materials,Specialty Chemicals,,,,20.24,17.86,Y,
SKE,29.17,38.77,24.76,3619.5,769.9,22.46,Basic Materials,Other Industrial Metals & Mining,,,,-19.88,36.41,,
PCVX,48.97,65.0,24.66,7071.2,1414.6,69.27,Healthcare,Biotechnology,,,,-22.32,63.04,,
AMSC,53.13,70.49,24.63,2529.6,1108.8,58.91,Industrials,Specialty Industrial Machinery,,,,53.2,34.68,Y,
DNOW,13.02,17.26,24.59,2375.8,3309.3,43.07,Industrials,Industrial Distribution,,,,11.43,11.68,Y,
CMCSA,24.89,32.98,24.55,88894.9,32244.3,802.4,Communication Services,Telecom Services,Nasdaq100|SP500,,,-18.24,30.44,,
EQH,42.08,55.59,24.3,11846.3,3993.3,168.04,Financial Services,Asset Management,,,,3.07,40.83,Y,
NOG,23.28,30.71,24.21,2462.8,2777.7,64.66,Energy,Oil & Gas E&P,,,,-10.78,26.09,,
HOG,23.27,30.68,24.14,2449.6,3470.6,80.76,,,,,,25.89,18.48,Y,
ARIS,17.67,23.29,24.13,3647.1,1703.7,30.1,Basic Materials,Gold,,,,-20.12,22.12,,
OR,36.42,47.99,24.1,6828.6,1079.6,39.32,Basic Materials,Gold,,,,-20.39,45.75,,
YUMC,44.07,58.07,24.1,15470.1,1532.0,67.52,Consumer Cyclical,Restaurants,,,,-21.47,56.12,,
YSS,33.83,44.54,24.05,4387.6,2124.6,71.88,Industrials,Aerospace & Defense,,,,27.85,26.46,Y,
FMS,21.7,28.56,24.0,11658.4,639.1,13.87,Healthcare,Medical Care Facilities,,,,-0.31,21.77,,
STOK,30.58,40.22,23.97,1904.6,704.0,21.53,Healthcare,Biotechnology,,,,-13.86,35.5,,
AVO,11.81,15.53,23.95,836.7,917.7,10.84,Consumer Defensive,Food Distribution,,,,-18.21,14.44,,
GMAB,26.99,35.43,23.82,16570.7,1792.2,48.37,Healthcare,Biotechnology,,,,-7.85,29.29,,
CART,40.81,53.5,23.72,9591.6,4061.9,165.77,Consumer Cyclical,Internet Retail,,,,11.66,36.55,Y,
COGT,33.48,43.73,23.44,5720.7,1991.3,66.67,Healthcare,Biotechnology,,,,-16.24,39.97,,
ACHC,23.12,30.2,23.43,2126.6,3245.9,75.06,Healthcare,Medical Care Facilities,,,,10.96,20.84,Y,
CRBG,27.3,35.65,23.43,12466.5,5925.2,161.73,Financial Services,Asset Management,,,,0.31,27.21,Y,
KVUE,17.58,22.93,23.32,33763.4,21263.3,373.92,Consumer Defensive,Household & Personal Products,SP500,,,-5.18,18.55,,
AMPX,17.54,22.8,23.07,2484.1,9267.6,162.55,Industrials,Electrical Equipment & Parts,,,,58.59,11.06,Y,
PMT,10.27,13.35,23.03,896.0,1080.6,11.1,Real Estate,REIT - Mortgage,,,,-12.23,11.71,,
ZVRA,10.13,13.16,23.02,598.8,1273.9,12.9,,,,,,13.44,8.93,Y,
SVM,12.15,15.77,22.95,2683.2,4291.1,52.14,Basic Materials,Silver,,,,-7.46,13.13,,
AMCR,38.76,50.28,22.92,17918.2,5300.3,205.41,Consumer Cyclical,Packaging & Containers,SP500,,,-20.62,48.82,,
AMRZ,50.36,65.29,22.87,27876.1,2874.4,144.76,Basic Materials,Building Materials,,,,-19.77,62.77,,
NVST,23.5,30.42,22.75,3824.1,2845.0,66.86,Healthcare,Medical Instruments & Supplies,,,,-20.58,29.59,,
ABM,39.9,51.62,22.7,2335.5,531.0,21.19,Industrials,Specialty Business Services,,,,-8.17,43.45,,
PBF,40.13,51.83,22.56,4748.3,3637.9,146.01,Energy,Oil & Gas Refining & Marketing,,,,15.48,34.75,,
TBPH,16.3,21.03,22.52,840.1,593.1,9.66,Healthcare,Biotechnology,,,,-14.51,19.06,,
UMAC,18.11,23.38,22.52,865.8,4646.6,84.17,Technology,Computer Hardware,,,,34.78,13.44,,
AHCO,10.41,13.43,22.49,1416.3,1503.1,15.65,Healthcare,Medical Devices,,,,11.58,9.33,Y,
OSPN,13.49,17.39,22.45,500.1,614.5,8.29,Technology,Software - Infrastructure,,,,23.92,10.89,Y,
UL,57.15,73.7,22.45,124156.1,4475.5,255.8,Consumer Defensive,Household & Personal Products,,,,-20.57,71.96,,
PAYP,19.34,24.89,22.3,13090.7,2038.1,39.42,Technology,Software - Infrastructure,,,,6.5,18.16,,
SARO,26.86,34.48,22.1,8930.2,4205.9,112.97,Industrials,Aerospace & Defense,,,,-12.88,30.83,,
ZETA,19.4,24.9,22.09,4835.6,7886.7,153.0,Technology,Software - Infrastructure,,,,8.68,17.85,Y,
FG,27.9,35.79,22.05,3696.3,773.6,21.58,Financial Services,Insurance - Life,,,,21.01,23.06,Y,
ACIW,42.47,54.28,21.76,4317.6,797.9,33.89,Technology,Software - Infrastructure,,,,2.39,41.48,Y,
BKD,13.38,17.09,21.74,3194.2,3457.7,46.25,Healthcare,Medical Care Facilities,,,,-11.54,15.12,,
SPTX,18.01,23.0,21.7,955.0,651.6,11.73,Healthcare,Biotechnology,,,,-9.22,19.84,,
NSSC,37.48,47.79,21.58,1339.1,578.3,21.68,,,,,,-20.36,47.06,,
CNK,26.44,33.69,21.51,3087.9,2075.6,54.88,Communication Services,Entertainment,,,,2.01,25.92,,
LNC,35.91,45.74,21.49,6866.5,2149.3,77.18,Financial Services,Insurance - Life,,,,1.03,35.55,Y,
HELE,26.5,33.73,21.45,616.2,653.2,17.31,Consumer Defensive,Household & Personal Products,,,,56.59,16.92,Y,
LXU,13.53,17.22,21.44,973.2,1659.6,22.45,Basic Materials,Chemicals,,,,35.0,10.02,Y,
HAYW,13.94,17.73,21.38,3024.5,2527.0,35.23,Industrials,Electrical Equipment & Parts,,,,-7.0,14.99,,
AVNT,35.03,44.49,21.26,3212.6,704.4,24.68,Basic Materials,Specialty Chemicals,,,,-15.24,41.33,,
NXE,11.01,13.96,21.17,7284.3,6788.3,74.71,Energy,Uranium,,,Y,-14.16,12.82,,
GEN,24.93,31.6,21.11,15018.7,7423.2,185.06,Technology,Software - Infrastructure,SP500,,,12.44,22.17,Y,
AXIA,10.69,13.54,21.05,24042.1,2575.3,27.53,Utilities,Utilities - Renewable,,,,-11.73,12.11,,
NRIX,17.78,22.5,20.96,1839.1,1103.1,19.62,Healthcare,Biotechnology,,,,12.63,15.79,Y,
XE,29.35,37.1,20.89,11515.5,8569.8,251.52,Industrials,Specialty Industrial Machinery,,,,0.51,29.2,,
HTHT,43.69,55.19,20.85,13434.2,1866.7,81.55,Consumer Cyclical,Lodging,,,,-17.77,53.13,,
YSWY,23.03,29.08,20.8,1455.4,812.2,18.7,Consumer Defensive,Grocery Stores,,,,8.48,21.23,Y,
HE,13.78,17.38,20.71,2378.9,2143.3,29.53,Utilities,Utilities - Regulated Electric,,,,-12.67,15.78,,
HUBG,42.11,53.07,20.65,2575.2,775.7,32.66,Industrials,Integrated Freight & Logistics,,,,2.68,41.01,Y,
MICC,15.85,19.93,20.48,9712.7,1545.9,24.5,Consumer Defensive,Packaged Foods,,,,-1.56,16.1,,
CCL,26.78,33.67,20.46,37094.0,28784.5,770.85,Consumer Cyclical,Travel Services,SP500,,,-15.0,31.51,,
BEKE,16.43,20.6,20.21,18340.3,4609.2,75.75,Real Estate,Real Estate Services,,,,-5.0,17.3,,
AMRC,35.87,44.93,20.18,1899.1,566.7,20.33,Industrials,Engineering & Construction,,,,9.14,32.86,Y,
TDS,39.23,49.12,20.13,4466.3,881.3,34.58,Communication Services,Telecom Services,,,,-13.4,45.3,,
